Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2085,77.53802083,102.4233073,80.4859375,123.8828125,88.16341146,45.51848958,13.44513411,14.26823177,13.42436719,15.97784896,13.10041016,16.02295964,45.51848958,16.02295964,9.091303385,45.7383724,Mountainous Lands,CNRM-SSP126
2086,97.1734375,83.50052083,105.3891927,74.89049479,100.3247396,75.46002604,14.34136719,14.17703646,13.32566276,15.7388112,14.19622656,14.42986589,75.46002604,14.42986589,22.80360807,53.52491276,Mountainous Lands,CNRM-SSP126
2087,137.4630208,88.29023438,107.3390625,62.13489583,96.43216146,55.178125,13.71326693,13.66020964,13.26672526,14.37227865,14.27354167,15.47771354,55.178125,15.47771354,12.52857943,47.00397917,Mountainous Lands,CNRM-SSP126
2088,94.09869792,99.32070313,61.3671875,94.84361979,57.40742188,53.90338542,14.49323047,14.10823307,13.53766406,14.30636458,13.25240755,14.84842578,53.90338542,14.84842578,12.8640612,51.16584896,Mountainous Lands,CNRM-SSP126
2089,100.6115885,75.08619792,71.67942708,102.2722656,72.03867188,118.0886719,13.45475,13.38398047,14.23544531,13.53182813,14.2195013,13.35894271,118.0886719,13.35894271,33.7631849,67.64437891,Mountainous Lands,CNRM-SSP126
2090,101.0311198,87.07096354,80.87330729,107.8304688,67.62174479,87.06666667,14.48260026,13.15523438,13.76552344,15.7969388,14.11961328,12.91450911,87.06666667,12.91450911,25.88428255,61.55945833,Mountainous Lands,CNRM-SSP126
2091,83.32135417,57.55898438,62.19882813,61.05182292,69.37395833,60.05091146,13.17696745,13.8826224,15.95882552,15.41023958,13.58642057,15.30354688,60.05091146,15.30354688,13.54200521,51.3373112,Mountainous Lands,CNRM-SSP126
2092,83.14361979,103.6304688,75.590625,83.93723958,59.73606771,49.021875,13.96708464,13.09347266,14.19966536,13.95109766,13.69687891,15.69609505,49.021875,15.69609505,12.37485938,39.39815885,Mountainous Lands,CNRM-SSP126
2093,108.9723958,62.60651042,102.0351563,94.03841146,88.69322917,62.33554688,13.63830339,14.1020612,14.12565104,15.72583854,13.40321094,16.06670182,62.33554688,16.06670182,15.31641536,51.2076237,Mountainous Lands,CNRM-SSP126
2094,98.0515625,53.46289063,88.79492188,93.34075521,68.47773438,84.23046875,13.25420052,15.64818359,13.99611198,15.89961198,13.83498828,12.82557813,84.23046875,12.82557813,26.73472266,58.31583724,Mountainous Lands,CNRM-SSP126
2095,92.89505208,62.93723958,57.25664063,90.38476563,95.24075521,37.00130208,14.1024362,15.59570573,14.34165885,14.18333333,12.4660612,15.50088151,37.00130208,15.50088151,6.7581875,42.00107813,Mountainous Lands,CNRM-SSP126
2096,82.43541667,92.98320313,86.42799479,85.50299479,62.15598958,116.6778646,13.18372396,14.50201302,13.28585156,15.42440234,13.13108464,12.95387109,116.6778646,12.95387109,37.61074089,67.04464063,Mountainous Lands,CNRM-SSP126
2097,91.02018229,102.1529948,70.23476563,45.86875,71.31601563,78.621875,13.90023568,14.25483073,14.20017448,16.22621094,15.07917318,13.65058073,78.621875,13.65058073,25.98947396,58.76463411,Mountainous Lands,CNRM-SSP126
2098,98.91263021,85.16666667,78.51940104,91.57434896,47.70807292,69.71588542,14.20901693,12.09646615,14.65606641,15.41708203,15.36070443,13.51592839,69.71588542,13.51592839,16.86069141,55.68343359,Mountainous Lands,CNRM-SSP126
2099,91.00260417,56.45755208,83.03216146,80.36471354,86.1328125,61.68229167,13.0901224,15.14171875,15.16448307,14.29455339,14.69929688,13.72902995,61.68229167,13.72902995,14.121,54.6434974,Mountainous Lands,CNRM-SSP126
2070,72.62589744,70.43606838,73.38472222,77.18205128,67.25049145,72.99773504,18.58582457,17.80863205,18.75709274,19.31641047,17.61219872,19.66361816,72.99773504,19.66361816,6.923263034,56.13666432,1Crop Lands,CNRM-SSP126
2071,83.85888889,86.69893162,85.95480769,87.93801282,100.9063248,78.18388889,18.81860128,16.27935833,17.69423675,19.54282372,17.01893568,18.20319167,78.18388889,18.20319167,7.474236538,64.49677201,1Crop Lands,CNRM-SSP126
2072,73.84709402,71.91401709,60.36230769,61.12083333,100.6699145,125.7723718,19.52214103,17.90337564,18.65268868,18.12635513,16.83592436,16.91243974,125.7723718,16.91243974,17.81851474,80.63394081,1Crop Lands,CNRM-SSP126
2073,75.00698718,76.44179487,109.4261325,99.07784188,67.41444444,53.70679487,18.68393333,17.84783226,16.15525855,17.05663761,18.43145406,18.56255769,53.70679487,18.56255769,9.564106624,59.14738739,1Crop Lands,CNRM-SSP126
2074,67.8465812,61.89668803,55.45324786,81.04980769,55.41527778,85.06461538,18.91309402,19.09726538,19.76265855,20.23795556,18.75326645,18.30308419,85.06461538,18.30308419,13.66034701,68.99954829,1Crop Lands,CNRM-SSP126
2075,72.34217949,40.31352564,66.00318376,95.18942308,49.9867735,42.99200855,19.24843889,19.55146389,18.64147585,18.45535983,18.20256581,17.92064359,42.99200855,17.92064359,6.803004487,50.96982265,1Crop Lands,CNRM-SSP126
